"AC005042.2","AC012078.2","AC013437.2","AC093166.2","APLF","ATP2B2.IT2","C8orf49","CAP2P1","CNN3","COPG1","CTB.127C13.1","CTB.147C22.6","CTC.203F4.2","CTD.2021H9.3","CTD.2342I9.1","DPY19L2P2","EXOGP1","FBXL3","FRMD7","HNRNPA1P51","LINC00443","LINC01170","MTHFD2P3","MYC","OR2T1","PPIAP3","RN7SKP195","RN7SKP67","RP11.126O1.5","RP11.227G15.8","RP11.264M12.2","RP11.321E2.3","RP11.344L13.1","RP11.462P6.1","RP11.4B16.1","RP11.570K4.1","RP3.410C9.2","RP6.60B16.1","RPL21P111","SETP20","SPP2","UGT1A12P","UPK1B","WDR13","WIPI1","XKR5","ZKSCAN7P1","ZNF221","ZNF295.AS1","y","ID"
0,0,0,0,10,0,2,2,3,2,3,0,2,0,0,2,2,18,1,0,3,0,1,3,5,0,0,0,0,1,0,0,0,1,3,2,0,0,0,0,1,0,3,27,32,1,1,1,0,0,"CLD.01"
0,0,1,1,0,1,0,0,5,11,2,0,2,0,0,1,0,20,0,0,1,0,0,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,10,15,2,2,2,1,0,"CLD.017"
1,0,1,0,2,1,1,0,2,10,1,1,2,0,1,1,0,24,0,1,0,0,0,5,0,0,1,0,1,2,0,0,2,2,0,1,0,0,0,2,0,0,0,8,16,0,0,4,1,0,"CLD.019"
0,0,0,0,5,0,3,2,3,13,2,0,1,0,0,2,1,25,1,0,1,1,1,4,1,2,0,0,0,1,1,0,0,1,2,1,0,0,1,0,1,0,1,17,12,1,0,1,1,0,"CLD.02"
0,0,0,1,1,0,1,2,0,34,1,1,0,0,0,0,1,28,0,1,0,0,0,4,1,0,1,0,1,2,1,0,0,0,1,0,0,0,1,0,0,1,1,15,25,0,0,2,0,0,"CLD.022"
1,0,0,1,2,0,0,1,4,11,1,1,0,0,0,4,1,17,3,0,0,1,0,3,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,6,15,1,1,6,0,0,"CLD.023"
1,0,0,1,0,0,2,1,10,6,3,1,1,0,0,1,0,27,0,1,2,0,1,8,0,0,0,0,1,5,1,0,0,2,0,1,0,1,0,1,1,0,2,15,15,1,0,1,1,0,"CLD.025"
2,0,1,1,0,0,1,1,2,4,1,0,0,0,1,0,1,20,2,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,2,0,1,0,1,0,1,2,10,11,0,0,4,0,0,"CLD.026"
1,0,1,0,3,1,2,0,3,5,0,0,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,2,0,2,1,0,0,3,0,0,1,2,0,0,2,9,3,0,0,1,0,0,"CLD.027"
1,0,0,0,2,1,0,1,0,8,0,0,0,0,0,0,0,27,0,2,1,0,0,2,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,9,16,0,1,1,0,0,"CLD.028"
0,0,0,1,3,0,1,0,4,7,2,0,2,1,0,3,0,23,1,2,1,1,0,2,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,1,1,0,0,11,7,1,0,1,2,0,"CLD.029"
2,0,0,0,4,0,2,1,2,11,0,0,2,0,0,2,0,20,2,1,0,0,0,2,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,2,9,0,2,0,4,0,"CLD.031"
3,1,2,1,0,0,1,0,2,20,0,0,0,0,0,2,0,53,2,0,0,1,0,6,3,0,0,1,0,3,0,0,1,1,2,1,1,0,1,0,1,0,0,19,23,0,0,1,0,0,"CLD.032"
0,0,1,0,0,0,1,0,2,8,4,0,0,1,0,0,1,13,1,1,0,0,1,3,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,2,6,7,1,0,1,0,0,"CLD.035"
0,0,2,0,3,0,2,1,2,8,6,1,1,0,0,1,0,22,0,0,0,0,1,2,3,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,13,16,0,1,1,1,0,"CLD.036"
0,0,1,0,0,1,0,0,0,14,2,0,0,0,0,0,0,24,0,1,0,0,0,3,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,18,13,0,2,1,0,0,"CLD.038"
1,0,0,0,2,0,0,0,0,29,3,2,2,0,0,0,3,39,0,0,0,1,0,5,0,0,0,1,0,2,1,0,2,0,0,0,0,1,0,0,0,1,2,36,26,0,2,0,1,0,"CLD.039"
1,0,2,1,1,0,1,0,0,34,3,0,2,0,0,1,0,32,1,2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,10,18,0,0,3,0,0,"CLD.040"
0,0,4,0,3,0,0,0,1,1,1,0,0,1,0,0,2,6,0,1,1,0,0,5,2,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,7,6,2,0,0,0,0,"CLD.05"
0,0,4,0,2,0,4,0,6,33,4,0,1,0,0,2,2,39,0,0,2,0,0,3,0,0,0,0,0,1,2,1,0,0,4,0,0,1,0,0,1,0,0,37,36,0,0,1,1,0,"CLD.06"
1,0,1,0,2,0,2,0,3,8,1,1,1,0,0,3,1,13,0,0,2,1,0,5,1,0,0,1,0,0,0,0,0,1,2,0,0,0,3,0,1,0,1,11,11,2,2,2,1,0,"CLD.08"
1,0,3,0,0,0,1,1,0,2,0,0,2,0,1,2,0,1,1,0,2,1,0,1,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,4,0,0,1,1,0,"CLD.09"
0,0,0,0,2,0,0,1,3,7,2,1,1,1,0,1,0,6,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,11,13,0,0,0,1,0,"CLD.10"
0,0,1,0,3,0,0,2,1,2,0,1,3,1,0,1,0,11,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,8,4,0,0,2,2,0,"CLD.11"
